CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
2047,2051,2070,2045,2043,2044,2063,2039
2050,2050,2065,2040,2058,2045,2041,2037
2049,2043,2060,2043,2048,2045,2056,2032
2055,2040,2056,2045,2032,2038,2056,2029
2049,2039,2056,2045,2034,2035,2066,2026
2044,2042,2052,2043,2045,2039,2055,2023
2047,2040,2058,2044,2059,2044,2058,2026
2056,2045,2049,2046,2061,2046,2045,2021
2050,2039,2040,2039,2048,2038,2051,2021
2048,2029,2035,2031,2039,2037,2043,2023
2048,2034,2040,2035,2050,2047,2033,2031
2051,2034,2036,2034,2053,2050,2028,2032
2049,2039,2043,2037,2055,2057,2040,2034
2052,2049,2054,2041,2059,2060,2036,2037
2057,2047,2055,2047,2057,2061,2061,2035
2050,2046,2049,2044,2046,2059,2052,2036
2051,2040,2051,2047,2046,2057,2040,2047
2050,2038,2053,2051,2042,2058,2038,2046
2053,2040,2058,2044,2036,2052,2038,2048
2045,2034,2045,2046,2036,2048,2040,2045
2046,2035,2050,2055,2044,2043,2044,2053
2044,2033,2055,2068,2088,2041,2032,2058
2039,2031,2068,2083,2117,2047,2016,2061
2045,2032,2073,2090,2112,2048,2008,2059
2042,2026,2061,2085,2098,2036,2006,2064
2047,2028,2054,2090,2095,2034,2021,2065
2049,2038,2053,2087,2087,2043,2019,2072
2052,2039,2053,2096,2088,2041,2026,2068
2054,2041,2051,2096,2068,2037,2017,2061
2054,2042,2050,2076,1972,2026,2012,2062
2050,2042,2045,2058,1912,2023,2000,2052
2049,2035,2048,2082,1976,2032,2010,2047
2051,2039,2041,2092,2013,2031,2020,2047
2044,2034,2028,2073,2030,2033,2022,2040
2047,2032,2020,2057,2032,2034,2046,2035
2050,2028,2012,2037,2040,2040,2053,2040
2041,2031,2022,2043,2041,2042,2036,2028
2049,2046,2051,2042,2036,2042,2042,2028
2048,2060,2087,2052,2022,2046,2058,2024
2056,2065,2100,2045,2015,2047,2053,2034
2050,2053,2087,2031,2014,2042,2051,2021
2043,2046,2073,2016,2022,2047,2041,2022
2054,2052,2066,2015,2037,2054,2063,2033
2053,2051,2050,2016,2049,2065,2066,2037
2058,2053,2040,2020,2059,2068,2050,2034
2062,2050,2046,2019,2057,2070,2060,2043
2063,2060,2050,2022,2065,2063,2069,2047
2066,2068,2046,2036,2070,2058,2074,2052
2068,2070,2044,2040,2067,2050,2064,2055
2062,2068,2036,2031,2049,2043,2060,2052
2060,2061,2029,2036,2050,2049,2064,2059
2056,2058,2016,2037,2071,2052,2042,2063
2056,2049,2007,2034,2067,2054,2057,2066
2051,2043,2000,2025,2058,2060,2058,2061
2055,2038,1991,2019,2054,2064,2064,2067
2056,2041,1982,1999,2017,2052,2061,2071
2047,2033,1978,1995,1977,2042,2059,2058
2048,2036,1990,2010,2002,2040,2039,2065
2048,2050,2006,2033,2049,2057,2035,2066
2053,2049,2020,2042,2082,2062,2048,2060
2051,2043,2032,2053,2088,2063,2053,2061
2047,2042,2043,2063,2074,2061,2047,2054
2055,2038,2045,2067,2069,2068,2049,2052
2053,2040,2036,2066,2064,2059,2062,2047
2051,2037,2033,2064,2061,2055,2046,2040
2045,2035,2026,2066,2060,2056,2058,2042
2041,2035,2019,2070,2062,2061,2076,2037
2046,2041,2018,2071,2071,2070,2061,2032
2050,2037,2028,2069,2073,2070,2065,2033
2050,2042,2041,2071,2065,2060,2040,2031
2046,2040,2049,2071,2059,2056,2046,2029
2047,2047,2056,2075,2060,2059,2050,2017
2047,2047,2056,2064,2085,2047,2044,2017
2042,2036,2057,2041,2099,2041,2039,2018
2036,2039,2064,2031,2102,2053,2060,2028
2053,2051,2082,2026,2115,2055,2037,2028
2053,2060,2091,2014,2104,2058,2054,2037
2061,2064,2082,2001,2075,2056,2044,2039
2062,2054,2070,2008,2064,2055,2047,2039
2050,2053,2070,2029,2053,2050,2056,2038
2045,2045,2058,2031,1963,2039,2041,2036
2039,2040,2056,2029,1895,2024,2027,2036
2032,2039,2054,2027,1949,2036,2040,2037
2037,2043,2058,2011,1979,2044,2010,2052
2038,2036,2053,1993,1995,2046,2044,2047
2036,2037,2049,2000,2005,2043,2050,2054
2037,2041,2055,2012,2023,2045,2056,2061
2044,2043,2058,2032,2024,2047,2049,2066
2039,2039,2047,2032,2025,2038,2022,2062
2038,2029,2038,2027,2024,2038,2022,2058
2036,2032,2035,2042,2032,2041,2048,2069
2047,2045,2033,2059,2049,2044,2041,2062
2047,2046,2025,2052,2043,2039,2050,2058
2046,2040,2023,2049,2042,2045,2048,2054
2051,2046,2034,2063,2039,2043,2056,2054
2057,2050,2054,2079,2039,2044,2059,2043
2051,2048,2080,2093,2047,2051,2057,2035
2047,2048,2089,2092,2053,2052,2055,2024
2041,2041,2080,2075,2042,2051,2028,2029
2037,2031,2064,2067,2038,2047,2044,2028
2037,2027,2059,2051,2037,2046,2040,2030
2032,2030,2052,2053,2039,2044,2044,2033
2036,2040,2062,2052,2045,2044,2035,2031
2042,2050,2082,2068,2056,2051,2055,2028
2046,2046,2063,2071,2055,2046,2046,2024
2033,2030,2041,2049,2047,2044,2044,2018
2026,2022,2028,2044,2037,2039,2047,2026
2047,2039,2060,2035,2049,2050,2046,2032
2050,2052,2068,2022,2041,2051,2060,2029
2049,2064,2080,2018,2045,2047,2054,2036
2056,2062,2074,2000,2040,2045,2050,2038
2056,2057,2066,1993,2041,2044,2043,2047
2058,2059,2053,1991,2047,2051,2047,2053
2058,2065,2051,2001,2050,2060,2060,2063
2058,2068,2048,2014,2059,2064,2056,2060
2063,2060,2050,2018,2064,2061,2068,2056
2051,2051,2047,2022,2063,2054,2073,2064
2048,2050,2041,2024,2067,2060,2060,2068
2050,2046,2044,2031,2065,2058,2049,2070
2039,2041,2045,2026,2059,2052,2041,2069
2039,2040,2044,2032,2055,2050,2033,2066
2040,2038,2037,2026,2044,2042,2030,2060
2031,2027,2030,2025,2040,2042,2038,2064
2032,2029,2033,2021,2045,2042,2047,2071
2046,2046,2044,2026,2043,2042,2050,2066
2048,2046,2050,2030,2030,2039,2048,2067
2052,2040,2047,2031,2035,2042,2051,2059
2044,2046,2048,2031,2033,2040,2049,2059
2050,2045,2048,2028,2040,2043,2053,2058
2047,2045,2051,2032,2035,2045,2050,2053
2049,2039,2045,2036,2039,2047,2057,2038
2050,2037,2040,2028,2041,2049,2055,2037
2046,2038,2045,2040,2046,2054,2032,2033
2045,2033,2048,2035,2051,2051,2056,2030
2043,2039,2047,2041,2046,2053,2054,2030
2050,2037,2044,2042,2045,2051,2046,2029
2050,2033,2033,2037,2050,2050,2050,2031
2037,2036,2029,2038,2054,2050,2046,2028
2046,2028,2025,2041,2052,2049,2045,2025
2040,2025,2043,2055,2053,2058,2051,2032
2051,2035,2052,2061,2061,2060,2063,2034
2054,2040,2052,2069,2069,2061,2066,2034
2050,2046,2059,2070,2058,2057,2056,2031
2048,2042,2050,2065,2049,2046,2033,2030
2044,2039,2050,2066,2046,2042,2034,2033
2045,2042,2056,2074,2045,2042,2022,2035
2041,2047,2073,2084,2042,2040,2029,2040
2044,2046,2092,2090,2047,2039,2050,2046
2041,2050,2099,2094,2047,2044,2050,2056
2045,2049,2094,2099,2056,2045,2051,2055
2045,2051,2100,2100,2061,2040,2044,2061
2047,2053,2104,2102,2060,2046,2052,2062
2044,2054,2090,2097,2052,2042,2042,2064
2042,2046,2060,2055,2024,2021,2029,2060
2025,2023,2029,2029,2024,2012,2029,2059
2031,2025,2029,2026,2034,2020,2044,2070
2043,2045,2051,2040,2055,2039,2031,2062
2046,2051,2059,2046,2058,2047,2045,2065
2052,2053,2044,2031,2077,2057,2064,2063
2056,2048,2028,2026,2090,2072,2063,2058
2052,2044,2018,2024,2071,2075,2059,2045
2045,2041,2019,2016,2064,2080,2061,2046
2053,2038,2021,2011,2048,2077,2068,2044
2050,2036,2007,1996,2036,2074,2077,2042
2056,2038,2013,1994,2029,2067,2079,2046
2060,2055,2034,2007,2019,2061,2060,2040
2061,2069,2055,2018,2030,2059,2067,2036
2056,2064,2059,2026,2036,2039,2058,2039
2054,2058,2052,2019,2018,2029,2046,2031
2052,2046,2043,2016,2001,2026,2036,2019
2040,2042,2048,2029,2030,2048,2034,2021
2053,2058,2056,2050,2063,2084,2054,2031
2059,2055,2059,2052,2080,2094,2050,2030
2055,2054,2064,2047,2067,2078,2056,2029
2052,2051,2055,2035,2051,2028,2058,2030
2052,2052,2055,2039,2048,2010,2050,2043
2050,2048,2049,2040,2061,2027,2056,2042
2050,2047,2045,2037,2070,2038,2044,2042
2046,2040,2040,2034,2061,2048,2065,2049
2052,2043,2040,2044,2060,2048,2060,2053
2046,2041,2042,2044,2061,2048,2062,2050
2052,2042,2045,2046,2064,2052,2050,2055
2054,2046,2044,2045,2053,2051,2061,2064
2049,2039,2044,2046,2053,2050,2057,2067
2044,2043,2046,2049,2056,2053,2060,2059
2035,2031,2034,2040,2052,2047,2046,2055
2032,2028,2031,2043,2058,2047,2049,2058
2036,2042,2046,2054,2046,2050,2047,2058
2045,2047,2046,2051,2045,2052,2031,2061
2042,2047,2049,2052,2045,2054,2043,2057
2042,2043,2048,2052,2038,2052,2032,2054
2039,2043,2041,2049,2040,2046,2044,2043
2039,2043,2046,2042,2038,2031,2034,2038
2038,2049,2052,2041,2037,2030,2036,2039
2043,2049,2057,2045,2039,2041,2042,2030
2039,2044,2052,2040,2040,2045,2055,2032
2044,2046,2055,2047,2042,2049,2051,2035
2043,2053,2056,2055,2048,2051,2057,2035
2045,2054,2050,2056,2051,2057,2048,2029
2047,2051,2047,2052,2055,2054,2050,2017
2039,2050,2047,2056,2053,2055,2026,2024
2035,2032,2031,2044,2054,2037,2031,2019
2036,2034,2035,2043,2051,2040,2052,2024
2050,2041,2048,2054,2056,2042,2032,2030
2042,2040,2048,2051,2051,2042,2027,2031
2041,2049,2047,2054,2055,2038,2037,2033
2041,2042,2042,2054,2054,2041,2046,2033
2039,2045,2049,2054,2056,2042,2033,2041
2041,2049,2048,2053,2058,2048,2040,2046
2045,2048,2048,2052,2057,2043,2025,2042
2046,2047,2043,2050,2054,2040,2037,2045
2048,2043,2048,2047,2052,2037,2041,2049
2042,2045,2045,2050,2047,2039,2041,2053
2033,2037,2045,2046,2045,2041,2045,2061
2040,2043,2040,2048,2042,2052,2045,2067
2042,2038,2047,2049,2049,2063,2054,2058
2044,2046,2050,2052,2049,2057,2050,2064
2034,2035,2036,2043,2041,2045,2045,2064
2031,2031,2037,2040,2042,2053,2056,2065
2045,2050,2049,2050,2047,2055,2058,2066
2052,2050,2050,2051,2051,2055,2034,2061
2050,2050,2043,2052,2046,2048,2039,2054
2052,2049,2047,2052,2051,2053,2043,2052
2050,2048,2051,2049,2045,2057,2051,2045
2052,2044,2048,2049,2043,2052,2048,2042
2046,2046,2046,2056,2043,2054,2047,2033
2050,2046,2044,2045,2050,2055,2052,2032
2050,2046,2053,2053,2050,2053,2060,2033
2052,2046,2051,2050,2053,2053,2057,2030
2046,2048,2050,2047,2051,2057,2039,2030
2043,2047,2049,2050,2047,2057,2050,2024
2042,2044,2048,2054,2055,2051,2035,2024
2051,2042,2050,2048,2052,2044,2024,2015
2037,2033,2037,2045,2043,2035,2028,2020
2040,2037,2038,2046,2052,2049,2042,2020
2050,2048,2053,2053,2052,2055,2029,2021
2049,2049,2051,2054,2049,2052,2033,2027
2047,2048,2051,2049,2042,2052,2023,2031
2048,2052,2049,2048,2047,2054,2028,2032
2047,2050,2054,2047,2049,2054,2052,2038
2047,2047,2051,2051,2049,2051,2031,2041
2044,2050,2052,2055,2055,2045,2036,2043
2039,2046,2055,2053,2051,2043,2033,2052
2039,2053,2052,2051,2044,2045,2033,2054
2043,2051,2052,2054,2050,2047,2033,2057
2045,2045,2041,2050,2048,2043,2045,2067
2043,2046,2048,2051,2045,2044,2024,2062
2048,2047,2050,2053,2041,2042,2020,2070
